N,tau,m_tau,N_records,W_over_kT_ln2,neglnP_direct,ledger_neglnP_over_N
4,1.9000000000000012,1.705897900868652,213,213,0.3195,0.0015
4,1.9500000000000013,1.8926794922170427,236,236,0.354,0.0014999999999999998
4,2.0000000000000013,2.094395102393201,261,261,0.3915,0.0015
4,2.0500000000000016,2.311820312083483,288,288,0.432,0.0015
4,2.1000000000000014,2.5457503369283256,318,318,0.47700000000000004,0.0015
4,2.1500000000000012,2.7970000275222557,349,349,0.5235,0.0014999999999999998
4,2.2000000000000015,3.0664038694138855,383,383,0.5745,0.0015
4,2.2500000000000018,3.3548159831059077,419,419,0.6285000000000001,0.0015000000000000002
4,2.3000000000000016,3.6631101240550983,457,457,0.6855,0.0015
4,2.3500000000000014,3.992179682672326,499,499,0.7485,0.0015
4,2.4000000000000017,4.342937684322542,542,542,0.8130000000000001,0.0015
4,2.450000000000002,4.716316789324778,589,589,0.8835000000000001,0.0015
4,2.5000000000000018,5.113269292952152,639,639,0.9585,0.0015
4,2.5500000000000016,5.534767125431868,691,691,1.0365,0.0015
4,2.600000000000002,5.981801851945222,747,747,1.1205,0.0015
4,2.650000000000002,6.455384672627584,806,806,1.209,0.0015
4,2.700000000000002,6.956546422568408,869,869,1.3035,0.0015
4,2.7500000000000018,7.4863375718112435,935,935,1.4025,0.0015
4,2.800000000000002,8.045828225353722,1005,1005,1.5075,0.0015
4,2.8500000000000023,8.636108123147556,1079,1079,1.6185,0.0015
4,2.900000000000002,9.258286640098538,1157,1157,1.7355,0.0015
4,2.950000000000002,9.913492786066554,1239,1239,1.8585,0.0015
4,3.000000000000002,10.602875205865583,1325,1325,1.9875,0.0015
4,3.0500000000000025,11.327602179263671,1415,1415,2.1225,0.0015
4,3.1000000000000023,12.08886162098295,1511,1511,2.2665,0.0015
4,3.150000000000002,12.887861080699649,1610,1610,2.415,0.0015
4,3.2000000000000024,13.725827743044086,1715,1715,2.5725000000000002,0.0015
4,3.2500000000000027,14.604008427600647,1825,1825,2.7375000000000003,0.0015000000000000002
4,3.3000000000000025,15.5236695889078,1940,1940,2.91,0.0015
4,3.3500000000000023,16.486097316458117,2060,2060,3.09,0.0015
4,3.4000000000000026,17.49259733469826,2186,2186,3.279,0.0015
4,3.450000000000003,18.544495003028945,2318,2318,3.477,0.0015
4,3.5000000000000027,19.64313531580499,2455,2455,3.6825,0.0015
4,3.5500000000000025,20.7898829023353,2598,2598,3.8970000000000002,0.0015
4,3.6000000000000028,21.986122026882875,2748,2748,4.122,0.0015
4,3.650000000000003,23.233256588664776,2904,2904,4.356,0.0015
4,3.700000000000003,24.53271012185216,3066,3066,4.599,0.0015
4,3.7500000000000027,25.885925795570266,3235,3235,4.8525,0.0015
4,3.800000000000003,27.294366413898445,3411,3411,5.1165,0.0015
4,3.850000000000003,28.759514415870093,3594,3594,5.391,0.0015
4,3.900000000000003,30.282871875472694,3785,3785,5.6775,0.0015
4,3.950000000000003,31.865960501647844,3983,3983,5.9745,0.0015
4,4.0000000000000036,33.510321638291245,4188,4188,6.282,0.0015
6,0.5,0.008181230868723419,1,1,0.0015,0.0015
6,0.55,0.011978140114897961,1,1,0.0015,0.0015
6,0.6000000000000001,0.01696460032938489,2,2,0.003,0.0015
6,0.6500000000000001,0.023366413484160974,2,2,0.003,0.0015
6,0.7000000000000002,0.03142901650528792,3,3,0.0045000000000000005,0.0015000000000000002
6,0.7500000000000002,0.04141748127291236,5,5,0.0075,0.0015
6,0.8000000000000003,0.05361651462126587,6,6,0.009000000000000001,0.0015000000000000002
6,0.8500000000000003,0.06833045833866497,8,8,0.012,0.0015
6,0.9000000000000004,0.08588328916751109,10,10,0.015,0.0015
6,0.9500000000000004,0.10661861880429065,13,13,0.0195,0.0015
6,1.0000000000000004,0.13089969389957493,16,16,0.024,0.0015
6,1.0500000000000005,0.1591093960580202,19,19,0.0285,0.0015
6,1.1000000000000005,0.1916502418383677,23,23,0.0345,0.0015
6,1.1500000000000006,0.22894438275344348,28,28,0.042,0.0015
6,1.2000000000000006,0.2714336052701587,33,33,0.0495,0.0015
6,1.2500000000000007,0.31957933080950923,39,39,0.0585,0.0015
6,1.3000000000000007,0.37386261574657614,46,46,0.069,0.0015
6,1.3500000000000008,0.4347841514105252,54,54,0.081,0.0015
6,1.4000000000000008,0.5028642640846073,62,62,0.093,0.0015
6,1.4500000000000008,0.5786429150061583,72,72,0.108,0.0015
