model,k,n,rss,R2,AIC,S0,c,p,p_ci95,alpha,measure,N
M_power,2,71,39.32757467100631,0.7878800512410188,-37.94353106284318,0.8554278846154848,,,,2.588619302177964,area,6
M_exp(p=1),2,71,4.804533141801955e-05,0.9999997388264752,-1004.6292280309765,1.5909558519486011,1.5708587696883027,1.0,,,proper,6
M_gauss(p=2),2,71,7.3272476643841085,0.9601692184536771,-157.24667437867703,0.3601228000073106,0.3351798833342156,2.0,,,proper,6
M_quartic(p=4),2,71,36.651985340921115,0.8007604917670039,-42.9460718722944,0.1535492930487328,0.020104710519875068,4.0,,,proper,6
M_freep,3,71,4.702220119146676e-05,0.999999744388192,-1004.1575111124957,1.5924432531207546,1.5717443315998187,0.9996756854155373,0.000522523782953037,,proper,6
M_power,2,71,11.727626300831044,0.9362488423155305,-123.85201433369598,0.3125763027337357,,,,2.8108455062118956,proper,6
M_exp(p=1),2,71,26.662688676986537,0.770640955560842,-65.53844489110932,4.344554795096765,1.0962162977867116,1.0,,,volume,8
M_gauss(p=2),2,71,10.821366947120163,0.9069119242779424,-129.56216662290385,1.795497278228504,0.2589522125283506,2.0,,,volume,8
M_quartic(p=4),2,71,0.17713929472166756,0.9984762039619411,-421.5384117558111,1.0665298816087734,0.01784630779623469,4.0,,,volume,8
M_freep,3,71,0.002436130540361344,0.9999790438023849,-723.8817195926167,1.0105355266276794,0.010851358855031253,4.3712886549421395,0.010854822221451906,,volume,8
M_power,2,71,51.07540559015375,0.5606367248847126,-19.38575246623548,1.1920053860136388,,,,1.729080108606321,volume,8
M_exp(p=1),2,71,9.650863074748347,0.9479510270583589,-137.689909480331,4.675544251700169,1.535486921529163,1.0,,,area,8
M_gauss(p=2),2,71,0.15920992344544474,0.9991413500602723,-429.1150201462599,1.2040928965713809,0.3432681391461662,2.0,,,area,8
M_quartic(p=4),2,71,10.902681368216367,0.9411997286532401,-129.03064958918728,0.5431733106622119,0.02188282440400016,4.0,,,area,8
M_freep,3,71,0.005697819446459304,0.9999692705566436,-663.5549641415784,1.0760775894199606,0.27162363892103686,2.167156134187866,0.007866902870368876,,area,8
M_power,2,71,39.31480773569112,0.787967630646944,-37.966583579504075,0.8556299565944665,,,,2.5888774403165997,area,8
M_exp(p=1),2,71,7.049124748490536e-05,0.999999616860206,-977.4118336251801,1.591416094723646,1.570959758551295,1.0,,,proper,8
M_gauss(p=2),2,71,7.333748578682296,0.9601390098744664,-157.1837093607793,0.3601810106336806,0.33519617908975635,2.0,,,proper,8
M_quartic(p=4),2,71,36.66514110364042,0.8007146261146977,-42.92059190033173,0.15356537679434237,0.020105428436513247,4.0,,,proper,8
M_freep,3,71,6.536883026910904e-05,0.999999644701987,-980.768287299535,1.5947485806132182,1.5729421767232945,0.9992743596870863,0.0006159819069863281,,proper,8
M_power,2,71,11.719170370782601,0.9363030066524117,-123.90322568404603,0.31265130453617324,,,,2.8111076952241336,proper,8
M_exp(p=1),2,71,26.662688676986537,0.770640955560842,-65.53844489110932,4.344554795096765,1.0962162977867116,1.0,,,volume,10
