N,tau,S_volume,S_area,S_proper,S_volume_input,N_records,included
4,3.850000000000003,0.019851017772293294,0.006998915993430276,0.0037612647818169973,0.004557413642625888,3594,True
4,3.900000000000003,0.015851359650056858,0.006078483733764066,0.003473821479768197,0.0034221030157690867,3785,True
4,3.950000000000003,0.012525358621074786,0.0052711854428881206,0.003213161292948421,0.0025427731555529576,3983,True
4,4.0000000000000036,0.00980855808900122,0.004564254892744863,0.002972059892723935,0.0018696575373385483,4188,True
6,0.5,1.0,0.9829828700549781,0.729304757833717,0.9985011244377109,1,True
6,0.55,1.0,0.9736499544142694,0.6691328786676718,0.9985011244377109,1,True
6,0.6000000000000001,1.0,0.963995518104169,0.6192980413963656,0.997004495503373,2,True
6,0.6500000000000001,1.0,0.9528874086300317,0.5730636270544418,0.997004495503373,2,True
6,0.7000000000000002,1.0,0.9389058494374335,0.52938460397401,0.9955101098295706,3,True
6,0.7500000000000002,1.0,0.9221936914446086,0.48968154858573876,0.9925280548191384,5,True
6,0.8000000000000003,0.9985011244377109,0.9057427080235492,0.45293801277656043,0.9910403787728836,6,True
6,0.8500000000000003,0.998501124437711,0.8869204367171583,0.4183235930086912,0.9880717128619305,8,True
6,0.9000000000000004,0.997004495503373,0.8671875542922558,0.3869344423169172,0.9851119396030626,10,True
6,0.9500000000000004,0.9955101098295706,0.8453538346846597,0.3579005945476117,0.9806888951886662,13,True
6,1.0000000000000004,0.9940179640539353,0.8228346580560195,0.3305491224578704,0.9762857097579093,16,True
6,1.0500000000000005,0.9925280548191383,0.7997148918675974,0.3057461794987144,0.9719022941461366,19,True
6,1.1000000000000005,0.9910403787728836,0.7760797449251382,0.2828043395879066,0.9660883396864915,23,True
6,1.1500000000000006,0.9880717128619306,0.7508870785310918,0.2611918719951283,0.9588697805724845,28,True
6,1.2000000000000006,0.9851119396030628,0.7254232509901429,0.24159319009780747,0.9517051581364622,33,True
6,1.2500000000000007,0.9806888951886663,0.6997724977346127,0.22313016014843226,0.9431782403996666,39,True
6,1.3000000000000007,0.9762857097579095,0.6730066959373884,0.20638746062626287,0.933326680078202,46,True
6,1.3500000000000008,0.9704455335485084,0.6462944978862201,0.19090105916394862,0.922193691444608,54,True
6,1.4000000000000008,0.9646402934831233,0.6197122633733643,0.17631202223254958,0.9111935002961405,62,True
6,1.4500000000000008,0.9574325540909672,0.5924433632460272,0.16308234853706205,0.8976275964304349,72,True
6,1.5000000000000009,0.9502786705324273,0.5655254386995394,0.15084537099395728,0.8842636625608209,82,True
6,1.550000000000001,0.941764533584249,0.5390214030763595,0.139317469064029,0.8684893116976679,94,True
6,1.600000000000001,0.9319277395258009,0.5129894496537246,0.12886370288030694,0.851717823571951,107,True
6,1.650000000000001,0.9208114378568051,0.48675225595997423,0.11919434103696021,0.8340182453034796,121,True
