N,member,idx,f0,c1,c2,c3,s1,s2,s3,c1_sym,c3_sym,rmse
4,scramble,19,0.03016867812856445,-0.0006394234377296718,0.006489373206858465,-0.0006203202317778959,4.6034922431238904e-09,7.046427394781544e-08,2.5738858304089067e-07,,,3.415080340403393e-10
4,scramble,20,0.029410859606214118,-0.10320997668495416,-0.006410768427889553,0.006995089173192246,1.03097397455094e-07,1.5780809163811695e-06,5.764339689244922e-06,,,7.648234787873215e-09
4,scramble,21,0.019508685481961333,0.033741245887522114,0.000951345592499188,-0.0034462852752021535,4.91910436712726e-08,7.529525399350656e-07,2.7503495955191695e-06,,,3.6492157973462845e-09
4,scramble,22,0.10369361908903335,-0.004920583028922512,0.008488988188920821,-2.754993825895892e-05,1.7206266974261264e-08,2.633711638168966e-07,9.620297900020146e-07,,,1.2764392980850826e-09
4,scramble,23,0.07139507722486506,0.022429779486093978,-0.005583925103608451,-0.00044186584049136536,3.009848986689351e-08,4.607085498111165e-07,1.6828545046604167e-06,,,2.2328431458484914e-09
6,level1_structured,-1,0.02529794891009544,-0.03462299577462192,0.04153123229425337,-0.003036858615189967,1.407498880328582e-08,2.1544162876098407e-07,7.869550404489824e-07,1.1105769735115603e-08,3.068553714063713e-06,1.0441468132219829e-09
6,scramble,0,0.02114830266178682,-0.17713474431926704,0.06315097644834826,-0.01589728930626385,3.619334326728761e-07,5.540006413354654e-06,2.0236274652128288e-05,,,2.6849871470992066e-08
6,scramble,1,0.06668035214143382,-0.06137027672974413,0.05103476727966691,-0.0010362940231942103,3.298521466294725e-08,5.048947797640207e-07,1.844255885534924e-06,,,2.4469935468594495e-09
6,scramble,2,0.05518305609508455,-0.026327355727557504,0.04392031984605159,0.0031018830846284147,1.6619409494065906e-09,2.5438831252295182e-08,9.29217653628797e-08,,,1.232903535724944e-10
6,scramble,3,0.060120659802461056,0.01177931594555685,0.04545627972395339,-0.0007055000523214583,6.054886960784187e-09,9.268033722985691e-08,3.385383732614807e-07,,,4.491791086218289e-10
6,scramble,4,0.05005112029534881,-0.04596938887003702,0.044087172104967286,-0.001981242153397632,2.9634230093798992e-08,4.5360226481994567e-07,1.656897001345804e-06,,,2.198402240114298e-09
6,scramble,5,0.19662625807009304,0.0057350245675018745,0.04676875719883422,6.63319901615102e-05,1.4497393050865273e-08,2.219072437867545e-07,8.105723346710644e-07,,,1.0754826853257358e-09
