N,tau,A1,M1_fwd,M1_bwd,S1,band_mean,band_std,A2a,M2a_fwd,M2a_bwd,S2a,A2b,M2b_fwd,M2b_bwd,S2b,S2b_input,included
4,2.650000000000002,-0.001964757522182947,0.039589088136950404,0.04155384565913335,0.9251642815156509,0.003191661315011267,0.010524971303124256,0.010754133435702966,0.05230797909480308,0.041553845659100114,1.321272642447693,-0.021079069324299055,0.020474776334834296,0.04155384565913335,0.5171823171073294,0.31286945845627007,True
4,2.700000000000002,-0.0020114799763336216,0.03948291516606296,0.041494395142396584,0.9226831069054233,0.0032434728066329695,0.01066636103789132,0.011052127599825858,0.052546522742188094,0.041494395142362236,1.330867351642611,-0.02342645205780345,0.018067943084593134,0.041494395142396584,0.4576142113266045,0.2858813666720596,True
4,2.7500000000000018,-0.00205825632683828,0.03937623595675137,0.04143449228358965,0.9201901019214742,0.0032949646548829374,0.010804293025421172,0.011204811828571366,0.0526393041121256,0.04143449228355423,1.336829253307544,-0.023415367121230584,0.018019125162359064,0.04143449228358965,0.4576142113266045,0.2598785784716662,True
4,2.800000000000002,-0.0021050628816510694,0.03926912339809075,0.04137418627974182,0.9176869699212689,0.0033461551309040935,0.010938608467129875,0.011265742169442101,0.052639928449147395,0.041374186279705294,1.34049155911911,-0.02573077109966352,0.0156434151800783,0.04137418627974182,0.39836425737068726,0.23498136154363355,True
4,2.8500000000000023,-0.002151874803720838,0.0391616505052503,0.04131352530897114,0.9151754172089864,0.0033970657875392624,0.011069142138646633,0.01132640314021379,0.052639928449147395,0.041313525308933605,1.3441703240288634,-0.0257129234880367,0.015600601820934435,0.04131352530897114,0.39836425737068726,0.2112951173769141,True
4,2.900000000000002,-0.0021986661326923868,0.039053890322462544,0.04125255645515493,0.9126571507679926,0.0034477207191953175,0.011195724912352989,0.01138737199403106,0.052639928449147395,0.041252556455116336,1.3478792513244346,-0.027946515195999576,0.013306041259155356,0.04125255645515493,0.34070975130234715,0.1889086724577068,True
4,2.950000000000002,-0.0022454098096851977,0.038945915824926014,0.04119132563461121,0.9101338759683854,0.003498145333795012,0.011318187654562587,0.011448602814575812,0.052639928449147395,0.041191325634571584,1.3516161408497933,-0.027922072339658523,0.013269253294952689,0.04119132563461121,0.34070975130234715,0.16789295059896983,True
4,3.000000000000002,-0.002292077705173451,0.03883779981979732,0.04112987752497077,0.9076072942532618,0.0035483645574437167,0.011436366684448461,0.0115100509242173,0.052639928449147395,0.041129877524930095,1.3553787468237202,-0.03002687423395122,0.011103003291019547,0.04112987752497077,0.2858813666720601,0.1483000730796547,True
4,3.0500000000000025,-0.002338640649976617,0.03872961484643918,0.041068255496415795,0.9050791008075972,0.003603318839025541,0.011536728779407106,0.01157167295277331,0.052639928449147395,0.041068255496374086,1.3591647801782138,-0.029996180273433252,0.011072075222982541,0.041068255496415795,0.2858813666720601,0.13016291871503904,True
4,3.1000000000000023,-0.0023850684693604643,0.03862143307609871,0.04100650154545917,0.9025509822138094,0.003661938217021182,0.01162230186140322,0.011633426903731023,0.052639928449147395,0.04100650154541637,1.3629719110999066,-0.03193118461647115,0.009075316928988015,0.04100650154545917,0.234981361543634,0.11349515936043218,True
4,3.150000000000002,-0.002431330020234962,0.038513326211198406,0.04094465623143337,0.9000246140982718,0.0037198851115294376,0.011704861314898379,0.01169527221775786,0.052639928449147395,0.040944656231389535,1.3667977717759792,-0.03189474240075184,0.009049913830681528,0.04094465623143337,0.234981361543634,0.09829176843756414,True
4,3.2000000000000024,-0.002477393231422549,0.03840536538443165,0.0408827586158542,0.8975016587732595,0.0037770490237618967,0.011784532738681483,0.011757169833338112,0.052639928449147395,0.040882758615809284,1.3706399593450034,-0.03362765202582803,0.007255106590026168,0.0408827586158542,0.1889086724577073,0.08452998176632015,True
4,3.2500000000000027,-0.002523225146956916,0.038297621057860984,0.0408208462048179,0.8949837628789588,0.0038331869544276725,0.011861163984760682,0.011819082244375466,0.052639928449147395,0.04082084620477193,1.3744960390520786,-0.033586093452489044,0.007234752752328854,0.0408208462048179,0.1889086724577073,0.0721706722616175,True
4,3.3000000000000025,-0.0025687919723592703,0.03819016292222569,0.04075895489458496,0.8924725550303686,0.003888184265460388,0.011934812661838639,0.011880973554609466,0.052639928449147395,0.04075895489453793,1.3783635476064522,-0.035095350942294955,0.005663603952290008,0.04075895489458496,0.14830007307965518,0.061160083906554585,True
4,3.3500000000000023,-0.002614059123823495,0.03808305979667253,0.040697118920496024,0.8899696434740908,0.003941967756392972,0.012005586249950736,0.011942809528699458,0.052639928449147395,0.04069711892044794,1.38223999673857,-0.035049398369552606,0.005647720550943414,0.040697118920496024,0.14830007307965518,0.051431856771352126,True
4,3.4000000000000026,-0.002658991280228784,0.037976379529128704,0.04063537080935749,0.8874766137601288,0.003994469935857996,0.01207357719584885,0.011918694683772199,0.05255406549308058,0.04063537080930838,1.383861920085628,-0.036325235562766754,0.004310135246590732,0.04063537080935749,0.11349515936043258,0.04290926451744696,True
4,3.450000000000003,-0.0027035524378822007,0.0378701888975438,0.040573741335426,0.8849950264339927,0.004045628683319958,0.012138864496829356,0.011718567246484804,0.052292308581860666,0.04057374133537586,1.3808304131604756,-0.036275658211489585,0.004298083123936419,0.040573741335426,0.11349515936043258,0.03550757941842802,True
